Name, Value
Train_images/25.jpg,0.196078431
Train_images/26.jpg,0.647058824
Train_images/27.jpg,0.650980392
Train_images/28.jpg,0.498039216
Train_images/29.jpg,0.415686275
Train_images/30.jpg,0.384313725
Train_images/31.jpg,0.254901961
Train_images/32.jpg,0.407843137
Train_images/33.jpg,0.37254902
Train_images/34.jpg,0.2
Train_images/35.jpg,0.584313725
Train_images/37.jpg,0.231372549
Train_images/38.jpg,0.529411765
Train_images/39.jpg,0.015686275
Train_images/40.jpg,0.68627451
Train_images/41.jpg,0.701960784
Train_images/42.jpg,0.203921569
Train_images/43.jpg,0.91372549
Train_images/44.jpg,0.694117647
Train_images/45.jpg,0.498039216
Train_images/46.jpg,0.396078431
Train_images/47.jpg,0.023529412
Train_images/48.jpg,0.51372549
Train_images/49.jpg,0.843137255
Train_images/51.jpg,0.619607843
Train_images/52.jpg,0.505882353
Train_images/53.jpg,0.564705882
Train_images/54.jpg,0.639215686
Train_images/55.jpg,0.498039216
Train_images/56.jpg,0.278431373
Train_images/57.jpg,0.592156863
Train_images/59.jpg,0.721568627
Train_images/60.jpg,0.639215686
Train_images/61.jpg,0.584313725
Train_images/62.jpg,0.537254902
Train_images/63.jpg,0.639215686
Train_images/64.jpg,0.615686275
Train_images/65.jpg,0.066666667
Train_images/66.jpg,0.133333333
Train_images/67.jpg,0.541176471
Train_images/68.jpg,0.662745098
Train_images/69.jpg,0.615686275
Train_images/70.jpg,0.62745098
Train_images/71.jpg,0.470588235
Train_images/72.jpg,0.643137255
Train_images/73.jpg,0.490196078
Train_images/74.jpg,0.368627451
Train_images/75.jpg,0.533333333
Train_images/76.jpg,0.643137255
Train_images/77.jpg,0.525490196
Train_images/78.jpg,0.545098039
Train_images/79.jpg,0.474509804
Train_images/80.jpg,0.02745098
Train_images/81.jpg,0.596078431
Train_images/82.jpg,0.576470588
Train_images/83.jpg,0.003921569
Train_images/84.jpg,0.647058824
Train_images/85.jpg,0.6
Train_images/87.jpg,0.568627451
Train_images/88.jpg,0.643137255
Train_images/89.jpg,0.584313725
Train_images/90.jpg,0.556862745
Train_images/91.jpg,0.039215686
Train_images/92.jpg,0.458823529
Train_images/93.jpg,0.117647059
Train_images/94.jpg,0.22745098
Train_images/95.jpg,0.058823529
Train_images/96.jpg,0.545098039
Train_images/97.jpg,0.533333333
Train_images/98.jpg,0.019607843
Train_images/99.jpg,0.447058824
Train_images/100.jpg,0.356862745
Train_images/101.jpg,0.074509804
Train_images/102.jpg,0.11372549
Train_images/103.jpg,0.062745098
Train_images/104.jpg,0.482352941
Train_images/105.jpg,0.470588235
Train_images/106.jpg,0.392156863
Train_images/107.jpg,0.521568627
Train_images/108.jpg,0.090196078
Train_images/109.jpg,0.294117647
Train_images/110.jpg,0.019607843
Train_images/111.jpg,0.28627451
Train_images/112.jpg,0.301960784
Train_images/113.jpg,0.48627451
Train_images/114.jpg,0.494117647
Train_images/115.jpg,0.419607843
Train_images/116.jpg,0.439215686
Train_images/117.jpg,0.454901961
Train_images/118.jpg,0.4
Train_images/119.jpg,0.643137255
Train_images/120.jpg,0.764705882
Train_images/121.jpg,0.184313725
Train_images/122.jpg,0.133333333
Train_images/123.jpg,0.388235294
Train_images/124.jpg,0.305882353
